food,carbon,water,energy,waste,deforestation,impact,description
Almond Milk,1.2,300,0.8,0.1,0.2,Medium,Plant-based milk from almonds
Buttermilk,2.5,900,3.2,0.15,1.5,Low,Fermented dairy drink
Cow Milk,3.2,1000,5.0,0.2,2.0,High,Conventional dairy milk
Kefir,2.8,950,3.8,0.2,1.6,Medium,Fermented dairy drink
Oat Milk,0.5,150,0.4,0.05,0.1,Low,Sustainable oat-based milk
Rice Milk,0.9,270,0.6,0.08,0.5,Low,Rice-based milk
Soy Milk,0.4,130,0.3,0.04,3.0,Medium,Organic soy milk
Yogurt,2.2,800,3.0,0.15,1.5,Medium,Regular dairy yogurt
Brie,8.8,3600,9.5,0.4,2.0,Medium,Soft cheese
Butter,9.0,5553,12.0,0.4,2.2,High,Dairy butter
Cheddar,11.0,4500,12.0,0.5,2.3,High,Aged cheese
Cheese,13.5,5000,14.0,0.5,2.5,High,Dairy cheese
Cottage Cheese,8.2,3500,9.0,0.4,2.0,Medium,Fresh cheese
Cream Cheese,7.2,3000,8.0,0.3,1.9,Medium,Soft fresh cheese
Feta,9.2,3800,10.0,0.4,2.1,Medium,Brined cheese
Gouda,10.5,4200,11.5,0.5,2.2,High,Semi-hard cheese
Greek Yogurt,2.4,900,3.5,0.18,1.6,Medium,Strained yogurt
Ice Cream,5.0,2000,8.0,0.3,1.8,High,Frozen dairy dessert
Mozzarella,7.8,3200,8.5,0.4,1.9,Medium,Fresh cheese
Parmesan,13.8,5200,15.0,0.6,2.6,High,Hard aged cheese
Ricotta,6.5,2800,7.5,0.3,1.8,Medium,Whey cheese
Sour Cream,4.5,1800,6.0,0.3,1.7,Medium,Fermented dairy
Apple,0.3,50,0.2,0.02,0.1,Low,Locally grown fruit
Apricot,0.5,678,0.4,0.03,0.2,Low,Stone fruit
Avocado,1.3,320,0.9,0.06,1.2,Medium,Nutrient-dense fruit
Banana,0.7,90,0.3,0.03,0.8,Low,Tropical fruit
Blackberries,0.7,789,0.6,0.03,0.2,Low,Berry fruit
Blueberries,0.8,845,0.7,0.04,0.3,Low,Berry fruit
Cantaloupe,0.7,789,0.6,0.03,0.2,Low,Fresh melon fruit
Cherries,0.7,789,0.6,0.03,0.2,Low,Stone fruit
Coconut,1.1,1012,0.9,0.05,0.4,Medium,Tropical fruit
Dates,0.8,845,0.7,0.04,0.3,Low,Dried fruit
Figs,0.7,789,0.6,0.03,0.2,Low,Sweet fruit
Grapes,0.8,845,0.7,0.04,0.3,Low,Vine fruit
Guava,0.8,845,0.7,0.04,0.3,Low,Tropical fruit
Jackfruit,0.6,734,0.5,0.03,0.2,Low,Tropical fruit
Kiwi,0.6,734,0.5,0.03,0.2,Low,Exotic fruit
Mango,0.9,901,0.7,0.04,0.3,Low,Tropical fruit
Orange,0.4,80,0.25,0.04,0.3,Low,Citrus fruit
Papaya,0.8,845,0.7,0.04,0.3,Low,Tropical fruit
Peaches,0.5,678,0.4,0.03,0.2,Low,Stone fruit
Pears,0.4,567,0.3,0.02,0.1,Low,Pome fruit
Pineapple,1.0,956,0.8,0.05,0.4,Medium,Tropical fruit
Plums,0.5,678,0.4,0.03,0.2,Low,Stone fruit
Pomegranate,0.7,789,0.6,0.03,0.2,Low,Seeded fruit
Raspberries,0.7,789,0.6,0.03,0.2,Low,Berry fruit
Strawberries,0.6,734,0.5,0.03,0.2,Low,Berry fruit
Watermelon,0.8,845,0.7,0.04,0.3,Low,Fresh melon fruit
